SimulationNum;Connection;Size;Arrive_Time;Holdtime;Release_Time;Source;Target;
0;69;120.0;0.014939221808785418;0.3732940372079101;0.38823325901669553;3;2;
0;70;120.0;0.015087223537514004;1.5172185750356597;1.5323057985731736;1;4;
0;71;120.0;0.01514521427992627;0.40178085274728303;0.4169260670272093;2;3;
0;72;120.0;0.01530042300253607;2.61834126242807;2.633641685430606;4;1;
0;73;120.0;0.015677521973891984;1.9172236773983733;1.9329011993722653;1;4;
0;74;120.0;0.015818878600249223;0.08719147256016013;0.10301035116040935;4;3;
0;75;120.0;0.01610930905918841;1.8235830261153039;1.8396923351744923;2;4;
0;76;120.0;0.01616290353632538;3.5736101783932988;3.589773081929624;1;3;
0;77;120.0;0.016345382868691614;0.8166292070600422;0.8329745899287337;2;1;
0;78;120.0;0.0166151208802018;0.6663644665825394;0.6829795874627412;4;2;
